EF,ACC,page,author,year,experiment,family,genus,species,variety,plant_type,plant_type_2,plant_type_3,diversity_type,plant_quality_type,defence_type_specific,trait_category,structure,experiment_type,study_type,plant_lifestage,shade_tolerance,plant_lifestage_2,plant_age,diversity_level,latitude,biome_type,Nfixing,broadleaf_conifer_mix,forb_legume_grass_mix,density,PD,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_control.1,SD_mixture,N_mixture,data_source,notes,yi,vi
ef1,1,1,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,chemical,condensed tannins,phenolics,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,N,NA,0.968,0.032,2,30.057,2.8,10.844,15,35.849,3.96,15.337,15,fig 3,"2 grass species, check that error bars = SE",0.424279465,0.136333551
ef2,1,2,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,chemical,condensed tannins,phenolics,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,Y,NA,0.549,0.451,4,30.057,2.8,10.844,15,33.436,2.99,11.58,15,fig 3,"2 grass, 2 forbs",0.293058174,0.134764718
ef3,1,3,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,chemical,condensed tannins,phenolics,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,N-fixing neighbours,NA,Y,NA,0.549,0.451,4,30.057,2.8,10.844,15,25.327,2.12,8.211,15,fig 3,"2 grass, 1 herb, 1 legume",-0.478473316,0.137148945
ef4,1,4,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,chemical,total phenolics,phenolics,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,N,NA,0.968,0.032,2,152.239,6.47,25.058,15,145.274,7.96,30.829,15,fig 3,2 grass species,-0.24122353,0.134303147
ef5,1,5,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,chemical,total phenolics,phenolics,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,Y,NA,0.549,0.451,4,152.239,6.47,25.058,15,137.313,6.97,26.995,15,fig 3,"2 grass, 2 forbs",-0.557583256,0.138514985
ef6,1,6,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,chemical,total phenolics,phenolics,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,N-fixing neighbours,NA,Y,NA,0.549,0.451,4,152.239,6.47,25.058,15,122.388,7.46,28.892,15,fig 3,"2 grass, 1 herb, 1 legume",-1.073954942,0.15255632
ef7,1,7,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,nutrient,carbohydrates,non-structural carbohydrates,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,N,NA,0.968,0.032,2,211.721,18.7,72.425,15,214.713,19.45,75.33,15,fig 3,2 grass species,0.039395627,0.1333592
ef8,1,8,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,nutrient,carbohydrates,non-structural carbohydrates,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,Y,NA,0.549,0.451,4,211.721,18.7,72.425,15,226.683,27.68,107.204,15,fig 3,"2 grass, 2 forbs",0.159123525,0.133755338
ef9,1,9,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,nutrient,carbohydrates,non-structural carbohydrates,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,N-fixing neighbours,NA,Y,NA,0.549,0.451,4,211.721,18.7,72.425,15,243.89,20.2,78.234,15,fig 3,"2 grass, 1 herb, 1 legume",0.415176181,0.136206188
ef10,1,10,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,nutrient,protein,protein,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,N,NA,0.968,0.032,2,3.716,0.36,0.805,5,4.052,0.29,0.648,5,fig 3,2 grass species,0.415076486,0.408614424
ef11,1,11,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,nutrient,protein,protein,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,No N-fixing neighbours,NA,Y,NA,0.549,0.451,4,3.716,0.36,0.805,5,3.204,0.55,1.23,5,fig 3,"2 grass, 2 forbs",-0.444641668,0.409885311
